Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
53033006300,5409.381002,4682,86553.34,18250,337376.86,587,10851.52,572,10574.22,15,277.3,9,166.38,1,18.49
53033006400,3427.703,3016,87988.95,10135,295679.06,333,9714.96,317,9248.18,16,466.78,4,116.7,1,29.17
53033006500,4888.773999,3964,81083.72,12253,250635.44,493,10084.33,471,9634.32,22,450.01,4,81.82,0,0
53033006600,4944.932999,3703,74884.74,11357,229669.44,569,11506.73,545,11021.38,24,485.35,3,60.67,0,0
53033006700,11024.138,10003,90737.25,26059,236381.29,1168,10594.93,1129,10241.16,39,353.77,15,136.07,3,27.21
53033006800,3531.435,2735,77447.27,7840,222006.07,308,8721.67,293,8296.91,15,424.76,8,226.54,1,28.32
53033006900,4624.682,3693,79854.14,10759,232643.02,437,9449.3,423,9146.57,14,302.72,5,108.12,1,21.62
53033007000,8502.311,5865,68981.25,18062,212436.36,840,9879.67,812,9550.34,28,329.32,7,82.33,2,23.52
53033007100,6652.546998,4901,73671.03,13020,195714.51,759,11409.16,718,10792.86,41,616.31,12,180.38,0,0
53033007200,13690.477,9871,72101.21,23765,173587.82,1256,9174.26,1178,8604.52,78,569.74,30,219.13,2,14.61
53033007300,15175.463,10560,69586.02,26786,176508.62,1440,9489,1376,9067.27,64,421.73,50,329.48,8,52.72
53033007401,5730.400999,4157,72542.92,13784,240541.63,615,10732.23,599,10453.02,16,279.21,5,87.25,0,0
53033007402,6021.399998,3934,65333.64,12311,204454.11,642,10661.97,609,10113.93,33,548.05,10,166.07,4,66.43
53033007500,11650.559,8487,72846.29,26152,224469.92,1390,11930.76,1348,11570.26,42,360.5,13,111.58,2,17.17
53033007600,4516.17,3649,80798.55,12219,270561.12,480,10628.48,469,10384.91,11,243.57,9,199.28,1,22.14
53033007700,5397.038,4621,85621.04,15239,282358.58,614,11376.61,597,11061.62,17,314.99,7,129.7,2,37.06
53033007800,5532.616001,4885,88294.58,15109,273089.62,491,8874.64,463,8368.55,28,506.09,9,162.67,4,72.3
53033007900,6919.156,5538,80038.66,18623,269151.32,765,11056.26,746,10781.66,19,274.6,18,260.15,5,72.26
53033008001,7720.837,5767,74693.97,15249,197504.49,825,10685.37,798,10335.67,27,349.7,29,375.61,3,38.86
53033008002,4478.433,3535,78933.86,10056,224542.83,464,10360.77,447,9981.17,17,379.6,18,401.93,3,66.99
53033008100,6662.784001,18562,278592.25,50840,763044.4,975,14633.52,933,14003.16,42,630.37,61,915.53,15,225.13
53033008200,5006.721001,4621,92295.94,10792,215550.26,591,11804.13,581,11604.4,10,199.73,19,379.49,11,219.7
53033008300,3229.559,2810,87008.78,8489,262853.23,402,12447.52,389,12044.99,13,402.53,11,340.6,2,61.93
53033008400,7670.679999,5343,69654.84,21910,285633.09,846,11029.01,805,10494.51,41,534.5,14,182.51,1,13.04
53033008500,6198.124999,3683,59421.2,13879,223922.56,889,14343.05,799,12891,90,1452.05,40,645.36,13,209.74
53033008600,7883.883997,6050,76738.83,30729,389769.81,932,11821.58,906,11491.8,26,329.79,24,304.42,3,38.05
53033008700,4692.401999,3915,83432.75,15919,339250.56,627,13362.03,612,13042.36,15,319.67,18,383.6,3,63.93
53033008800,3944.234,3308,83869.26,11634,294962.22,420,10648.46,400,10141.39,20,507.07,10,253.53,1,25.35
53033008900,6537.593,4815,73650.96,15509,237227.98,882,13491.2,818,12512.25,64,978.95,22,336.52,7,107.07
53033009000,4540.436,3677,80983.41,11370,250416.48,730,16077.75,690,15196.78,40,880.97,31,682.75,5,110.12
53033009100,3628.237,1728,47626.44,5234,144257.39,293,8075.55,290,7992.86,3,82.68,16,440.99,5,137.81
53033009200,3687.663,3676,99683.73,12733,345286.43,722,19578.8,705,19117.8,17,461,85,2304.98,12,325.41
53033009300,3536.222,7290,206152.22,15373,434729.49,480,13573.81,431,12188.15,49,1385.66,18,509.02,0,0
53033009400,6785.507,5098,75130.72,16252,239510.47,943,13897.27,923,13602.52,20,294.75,37,545.28,5,73.69
53033009500,6964.798,5495,78896.76,17150,246238.3,876,12577.54,842,12089.37,34,488.17,24,344.59,4,57.43
53033009600,5800.327002,4373,75392.3,12257,211315.67,688,11861.4,650,11206.26,38,655.14,15,258.61,7,120.68
53033009701,5928.185001,4372,73749.39,11832,199588.91,674,11369.42,642,10829.62,32,539.79,15,253.03,2,33.74
53033009702,5694.571001,4781,83957.16,13862,243424.83,680,11941.2,655,11502.18,25,439.01,13,228.29,4,70.24
53033009800,7270.958,5650,77706.4,16218,223051.76,814,11195.22,785,10796.38,29,398.85,15,206.3,3,41.26
53033009900,6429.282999,4760,74036.25,12980,201888.76,763,11867.58,731,11369.85,32,497.72,10,155.54,0,0
53033010001,4670.267,3493,74792.3,9975,213585.22,754,16144.69,732,15673.62,22,471.07,21,449.65,1,21.41
53033010002,4908.672999,3618,73706.27,11763,239637.07,681,13873.4,658,13404.84,23,468.56,21,427.81,3,61.12
53033010100,8462.232,6659,78690.82,21001,248173.3,1278,15102.4,1242,14676.98,36,425.42,90,1063.55,41,484.51
53033010200,5146.356,4210,81805.46,12892,250507.35,561,10900.92,541,10512.29,20,388.62,10,194.31,3,58.29
53033010300,7675.864,6135,79925.86,23101,300956.35,1174,15294.7,1136,14799.64,38,495.06,38,495.06,15,195.42
53033010401,4780.868,3082,64465.28,9295,194420.76,683,14286.11,664,13888.69,19,397.42,18,376.5,4,83.67
53033010402,5136.111,3681,71669.01,10656,207472.15,798,15537.05,770,14991.89,28,545.16,20,389.4,4,77.88
53033010500,10116.307,7436,73505.08,21376,211302.41,1261,12465.02,1185,11713.76,76,751.26,19,187.82,19,187.82
53033010600,7964.898001,6249,78456.75,17512,219864.71,999,12542.53,958,12027.77,41,514.76,12,150.66,2,25.11
53033010701,3987.984,2907,72893.97,7976,200000.8,675,16925.85,645,16173.59,30,752.26,17,426.28,3,75.23
53033010702,4365.44,3318,76006.08,8321,190610.8,801,18348.67,767,17569.82,34,778.84,41,939.2,9,206.16
53033010800,5067.852,3676,72535.66,10072,198742.98,794,15667.39,771,15213.55,23,453.84,16,315.72,1,19.73
53033010900,1601.405,1606,100286.94,6755,421817.09,249,15548.85,239,14924.39,10,624.45,17,1061.57,1,62.45
53033011001,4819.509,3311,68699.94,10145,210498.62,814,16889.69,791,16412.46,23,477.23,45,933.71,5,103.75
53033011002,4703.695999,3094,65778.06,8446,179560.92,845,17964.6,829,17624.44,16,340.16,24,510.24,5,106.3
53033011101,6534.103,4169,63803.71,11871,181677.58,1024,15671.62,1002,15334.93,22,336.7,51,780.52,11,168.35
53033011102,4870.549,3734,76664.87,25759,528872.62,733,15049.64,717,14721.13,16,328.51,34,698.07,23,472.23
53033011200,4214.063,2643,62718.57,6674,158374.47,797,18912.86,733,17394.14,64,1518.72,29,688.17,5,118.65
53033011300,6420.717,4593,71534.07,12285,191333.77,1171,18237.84,1127,17552.56,44,685.28,41,638.56,14,218.04
53033011401,4389.722,4931,112330.58,11057,251883.83,791,18019.36,769,17518.19,22,501.17,22,501.17,3,68.34
53033011402,4642.962,3261,70235.34,8819,189943.4,848,18264.2,808,17402.68,40,861.52,33,710.75,5,107.69
53033011500,4473.837001,3493,78076.16,10563,236106.05,541,12092.53,528,11801.95,13,290.58,9,201.17,1,22.35
53033011600,6925.436001,5414,78175.58,16208,234035.81,828,11955.93,807,11652.7,21,303.23,13,187.71,6,86.64
53033011700,5733.035,4010,69945.5,11231,195899.73,1056,18419.56,1029,17948.61,27,470.95,42,732.6,9,156.98
53033011800,8056.546999,7076,87829.19,17968,223023.59,1436,17824.01,1401,17389.58,35,434.43,73,906.1,12,148.95
53033011900,7601.028,5635,74134.71,15187,199801.92,1429,18800.09,1367,17984.41,62,815.68,63,828.84,9,118.41
53033012000,3585.016,2665,74337.19,7649,213360.28,500,13946.94,479,13361.17,21,585.77,11,306.83,3,83.68
53033012100,2859.478001,2237,78231.06,5972,208849.31,377,13184.22,370,12939.42,7,244.8,10,349.71,1,34.97
53033020100,3264.695001,2605,79793.06,6417,196557.41,386,11823.46,364,11149.59,22,673.88,31,949.55,20,612.61
53033020200,5779.181002,4017,69508.12,9094,157357.94,646,11178.05,609,10537.83,37,640.23,34,588.32,24,415.28
53033020300,7340.3,4817,65624.02,11376,154980.04,1034,14086.62,980,13350.95,54,735.66,46,626.68,14,190.73
53033020401,3673.065,2660,72419.08,6394,174078.05,561,15273.35,524,14266.01,37,1007.33,9,245.03,6,163.35
53033020402,5642.078001,3711,65773.64,8632,152993.28,642,11378.79,606,10740.72,36,638.06,24,425.38,3,53.17
53033020500,7108.385001,5440,76529.34,13696,192673.86,1053,14813.49,999,14053.83,54,759.67,29,407.97,11,154.75
53033020600,3745.862,2705,72213.02,6899,184176.57,513,13695.11,486,12974.32,27,720.8,19,507.23,3,80.09
53033020700,4225.673,3326,78709.36,8261,195495.49,589,13938.61,572,13536.31,17,402.3,17,402.3,2,47.33
53033020800,4463.195002,3451,77321.29,8216,184083.38,516,11561.22,493,11045.9,23,515.33,7,156.84,3,67.22
53033020900,3637.854,2928,80487.01,7081,194647.72,457,12562.35,432,11875.13,25,687.22,11,302.38,2,54.98
53033021000,5739.102,4706,81998.89,11630,202644.94,787,13712.95,758,13207.64,29,505.31,32,557.58,11,191.67
53033021100,4288.977,3423,79809.24,11729,273468.48,778,18139.52,757,17649.9,21,489.63,30,699.47,19,443
53033021300,3969.359,2720,68524.92,6741,169825.91,488,12294.18,427,10757.4,61,1536.77,21,529.05,5,125.96
53033021400,3805.954001,2804,73674.04,6907,181478.81,377,9905.53,355,9327.49,22,578.04,7,183.92,2,52.55
